Date,AAPL,GLD,JPM,MSFT,TLT,XOM
2015-01-05,-0.028575760637438344,0.014964618775983719,-0.03153693746537077,-0.009238079325805464,0.015586770905050756,-0.02774313772103647
2015-01-06,9.384577777195854e-05,0.01133448217141997,-0.026271048138914614,-0.014786390465314733,0.017856939228799336,-0.005330645230866538
2015-01-07,0.01392511861334698,-0.005908836993974842,0.0015248313127949858,0.012625172914196889,-0.0019773186964960592,0.010081668417881526
2015-01-08,0.03770232559051344,-0.004217399700950183,0.022100182273008265,0.028994396057870568,-0.01333178198679105,0.016507672834278137
2015-01-09,0.0010717816454527888,0.011320872784880804,-0.01753976152427597,-0.008441107204409885,0.0108935736143985,-0.001410260624400906
2015-01-12,-0.02494919647362357,0.011025431201653892,-0.008631468990476471,-0.012581352332175664,0.005705687781075572,-0.019405523166635165
2015-01-13,0.00883958290067443,-0.003379471739693634,0.00016997276747647336,-0.005163553069656511,0.0,-0.0036604835626151315
2015-01-14,-0.003818017762565032,-0.0016093040146014643,-0.035109783748514575,-0.008665357220796754,0.007558059321590469,-0.002892551124339547
2015-01-15,-0.027515578540093448,0.024864209830664362,-0.03256087634177176,-0.010498942616731009,0.015612819227717116,-0.008729914138704171
2015-01-16,-0.007800091643451114,0.01297967953352017,0.016949506073768023,0.016572635580474535,-0.01283161547164453,0.023990138347383186
2015-01-20,0.025430965956653256,0.013618890362551296,-0.003941382776473549,0.003238797482443625,0.013201552183960562,-0.0003293191924296136
2015-01-21,0.00760544289720259,0.00024156831944978564,0.0032258309285060375,-0.010183569961793922,-0.011626197309877604,0.008526849157511514
2015-01-22,0.02568276842706972,0.008017360134577187,0.029963705680719536,0.026008998498382046,-0.0036044208948409627,0.01082630195454203
2015-01-23,0.0051466790991242265,-0.008017360134577146,-0.01592763561175324,0.0010607465538684416,0.013821699035719066,-0.02155102951427125
2015-01-26,0.0010618274741561987,-0.010031679362329541,0.0015866577314378003,-0.003610205534456414,-0.003046952127847103,0.00952658381976552
2015-01-27,-0.035641003707826205,0.011399158685807192,-0.010091432389337076,-0.09709824718754564,0.0015621773667219235,-0.008866807047309874
2015-01-28,0.054992554646737524,-0.007909034514030033,-0.02613910481552229,-0.03506634166606875,0.01621549319065763,-0.03354121998580159
2015-01-29,0.03065889190037857,-0.02178803552843412,0.01666387473728201,0.019712034076030303,-0.006601684154051326,-0.004215573453234894
2015-01-30,-0.014742302872067275,0.0220310685420678,-0.0234448530872572,-0.0390775633080403,0.017582261843226497,-0.0018288244861844245
2015-02-02,0.01246877281550454,-0.008378450604819716,0.01984584301957466,0.02154827674102424,-0.0037825815958332978,0.02440804840240916
2015-02-03,0.00016860580911964322,-0.011254031870982083,0.022284596790857047,0.007721624123881258,-0.021393808213634326,0.029370141944239973
2015-02-04,0.007640602299176204,0.004368788786280421,-0.006012606474274385,0.005753115709647448,0.0017077913025160315,-0.008600338177913096
2015-02-05,0.007111845640868835,0.0017257602352123193,0.006893682218676916,0.014473643465243973,-0.011040253651452078,0.009792055437857836
2015-02-06,-0.008456253098380212,-0.026204564931172653,0.019536698615368872,-0.0009422953973564029,-0.017860150041936338,-0.0018558556900840975
2015-02-09,0.0066202166095137155,0.004457337052542182,-0.0012100518934337276,-0.0011799116134361336,-0.0016047511517247378,0.0006549918698323808
2015-02-10,0.019029236382834727,-0.005891255467082124,0.011008405652895131,0.005649766170678672,-0.00798620467187181,-0.006024912363297001
2015-02-11,0.023168621018881008,-0.01188773038576783,-0.0015409285809924503,-0.005177740046586313,0.001848693417270588,-0.004515364053721437
2015-02-12,0.01257266520067577,0.0023036284035265445,0.02034979108535186,0.016614449638041318,-0.0033137586638201507,0.01934819153374362
2015-02-13,0.0048909469209823435,0.005439474740014081,0.001677263094318083,0.017939741367922386,-0.010322178831327673,0.010767749843309945
2015-02-17,0.005884060156198589,-0.016838734326833547,0.0071807108379937324,0.0004589436259142719,-0.015170472111007756,-0.0034324136960651296
2015-02-18,0.006938433584314333,0.0028404943034609498,-0.012220963421338358,-0.001147754236463045,0.005922168950902573,-0.02216816362726709
2015-02-19,-0.002099443553389562,-0.003444070035884628,-0.0023609606684430557,-0.0006895918523809823,-0.0066355363078452415,-0.017401515512195265
2015-02-20,0.008140926598961717,-0.005708895866845205,0.009577398244594786,0.008241956794923117,0.002928021396335823,0.005352508576700729
2015-02-23,0.026668341121683335,0.0013003471683988895,-0.0075532046532446485,0.006590335375891293,0.011393638938588841,-0.01017159899938303
2015-02-24,-0.006260486862870571,-0.0014738237281034486,0.024466396027537085,-0.0013600700340914474,0.013041249174068086,0.004595429331274622
2015-02-25,-0.025905551303850652,0.003810143280624359,0.005247817307112261,-0.0022708347863338806,0.004309248784716838,0.002011422145935605
2015-02-26,0.01257690076452488,0.003192846928133665,0.007170660404720051,0.0015901054683017074,-0.013762534657259093,-0.010659470288476575
